fbtime,title,company,experence,gzdd,zwyx,totalnum
2017-09-18 10:05:31,Java开发工程师,北京所问数据科技有限公司 ,3-5年,北京,15000-25000元/月 ,1 
2017-09-13 15:40:31,应届生 Java开发初级+双休五险一金,北京极客创想教育科技有限公司 ,不限,北京,6001-8000元/月 ,20 
2017-09-11 14:13:46,【校招】Java实习生,北京极客创想教育科技有限公司 ,无经验,北京,6001-8000元/月 ,3 
2017-09-14 09:17:43,高级JAVA工程师,北京复华卓越商业管理有限公司 ,5-10年,北京,15000-25000元/月 ,1 
0002-01-01 00:00:00,java开发高级工程师,旅悦(天津)酒店管理有限公司 ,3-5年,北京,20001-30000元/月 ,3 
0002-01-01 00:00:00,Java开发工程师,北京柯锐特信息技术有限公司 ,3-5年,北京,11000-16000元/月 ,10 
2017-09-08 09:05:37,java开发工程师,天津易商互动科技股份有限公司 ,1-3年,北京,8001-10000元/月 ,10 
2017-09-18 10:27:20,Java架构师,哆啦宝(北京)科技有限公司 ,5-10年,北京,28000-40000元/月 ,2 
2017-09-20 09:20:38,JAVA定岗助理（高薪+包住）,北京华信智原教育技术有限公司 ,不限,北京,4001-6000元/月 ,12 
2017-09-16 16:09:27,中高级Java工程师,北京寻宝天行网络技术有限公司 ,3-5年,北京,15000-30000元/月 ,1 
2017-09-18 08:48:24,开发2部 JAVA应届生JAVA实习生,华锐祥博(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,15 
2017-09-20 10:30:17,Java资深开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:28:26,Java资深开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,12 
2017-09-20 10:28:36,Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,12 
2017-09-20 10:28:36,软件Java测试工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,12 
2017-09-20 10:28:36,转互联网Java软件开发程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,12 
2017-09-20 10:30:17,Java软件开发实习生,因特驰软件(北京)有限公司,无经验,北京,8001-10000元/月 ,35 
2017-09-20 10:30:17,8K急招Java软件开发工程师,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-09-20 10:28:26,初级Java软件开发工程师,因特驰软件(北京)有限公司,无经验,北京,8001-10000元/月 ,12 
2017-09-20 10:28:26,金融软Java程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,12 
2017-09-20 10:26:24,金融软Java程序员,因特驰软件(北京)有限公司,不限,北京,8001-10000元/月 ,35 
2017-06-12 15:20:23,JAVA工程师,云牛时代(北京)科技有限公司 ,3-5年,北京,15000-25000元/月 ,1 
0002-01-01 00:00:00,中级java工程师,国信金融信息服务(北京)有限公司 ,3-5年,北京,18000-22000元/月 ,1 
2017-09-20 10:30:17,初级Java软件开发工程师,因特驰软件(北京)有限公司,无经验,北京,8001-10000元/月 ,35 
2017-08-30 13:00:03,java大数据处理工程师（实习生）,中金云金融(北京)大数据科技股份有限公司 ,不限,北京,2001-4000元/月 ,3 
2017-09-13 16:34:43,JAVA开发工程师-需出差,北京明润华创科技有限责任公司 ,1-3年,北京,4000-8000元/月 ,4 
2017-09-20 09:54:02,JAVA高级软件工程师,泓钰汇财信息服务(北京)有限公司 ,3-5年,北京,15001-20000元/月 ,3 
2017-09-18 09:11:18,JAVA中级软件开发工程师,北京安信远腾科技有限公司 ,3-5年,北京,8000-11000元/月 ,10 
2017-09-20 09:46:21,Java开发工程师,北京创世新强科技有限公司 ,3-5年,北京,10001-15000元/月 ,1 
0002-01-01 00:00:00,Java开发工程师,北京易帕克科技有限公司,3-5年,北京,10000-18000元/月 ,8 
2017-09-20 09:21:23,初级JAVA 开发工程师 双休+五险一金,北京华信智原教育技术有限公司 ,不限,北京,4001-6000元/月 ,10 
2017-09-20 09:26:23,JAVA高级工程师,北京汇金行信息科技有限公司,5-10年,北京,15000-25000元/月 ,1 
0002-01-01 00:00:00,JAVA,红科网安(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,2 
2017-07-31 09:00:08,高级Java工程师,天津中棋惟业体育发展有限公司北京分公司 ,5-10年,北京,15000-30000元/月 ,1 
2017-07-31 09:00:08,中级Java工程师,天津中棋惟业体育发展有限公司北京分公司 ,3-5年,北京,10001-15000元/月 ,1 
2017-09-20 15:12:47,JAVA软件开发程序员,中高软信息技术(北京)有限公司 ,不限,北京,6001-8000元/月 ,6 
2017-09-18 14:08:51,开发部二Java开发实习（应届生优先）+包住,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-18 14:08:51,开发部二初级Java软件开发工程师+实习生,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,18 
2017-09-14 08:31:31,JavaEE开发（实习生，可应届生）,北京美码科技有限公司,不限,北京,6001-8000元/月 ,16 
2017-09-17 17:10:01,java 开发,北京墨樱科技有限公司 ,1-3年,北京,10000-13000元/月 ,3 
2017-09-12 17:22:40,JAVA开发,北京华正明天信息技术股份有限公司 ,3-5年,北京,10001-15000元/月 ,1 
2017-09-18 09:26:31,Java开发工程师,财栋(上海)网络科技有限公司 ,3-5年,北京,15000-25000元/月 ,10 
2017-09-18 09:03:37,高级Java开发工程师,中圣明达控股有限公司 ,3-5年,北京,15000-25000元/月 ,1 
2017-09-19 08:37:48,JAVA高级开发工程师,北京花果信息技术有限公司 ,3-5年,北京,15001-20000元/月 ,1 
2017-09-20 10:46:13,初级Java软件工程师实习生（应届生优先）,北京赛智方舟信息咨询有限公司 ,不限,北京,8001-10000元/月 ,8 
2017-09-19 08:37:48,中级java开发,北京花果信息技术有限公司 ,3-5年,北京,10001-15000元/月 ,1 
2017-09-20 18:35:27,Java开发工程师,北京快方科技有限公司 ,3-5年,北京,10000-20000元/月 ,2 
2017-09-15 18:02:13,JAVA开发工程师,北京青苔数据科技有限公司 ,3-5年,北京,15001-20000元/月 ,1 
2017-09-20 15:36:44,高级java工程师,中丝国金(北京)资产管理有限公司 ,5-10年,北京,20001-30000元/月 ,2 
